GHO (CODE),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
MALARIA_PV_INDIG,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,8,8,,,,,
MALARIA_IMPORTED,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,34,34,,,,,
MALARIA_MICR_POS,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,48,48,,,,,
MALARIA_EST_CASES,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,19,19,,,,,
MALARIA_CONF_CASES,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,48,48,,,,,
MALARIA_EST_DEATHS,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,0,0,,,,,
MALARIA_EST_INCIDENCE,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,0.03 [0.03-0.03],0.03487,0.03487,0.03487,,,
MALARIA_EST_MORTALITY,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,0 [0-0],0,0,0,,,
MALARIA_INDIG,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,19,19,,,,,
MALARIA_MICR_TEST,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,33 586,33586,,,,,
MALARIA_PF_INDIG,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,11,11,,,,,
MALARIA_PRES_CASES,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,0,0,,,,,
MALARIA_SUSPECTS,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,33 586,33586,,,,,
MALARIA_TOTAL_CASES,2014,2014,,SEAR,South-East Asia,,BTN,Bhutan,48,48,,,,,
MALARIA_RDT_POS,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,20,20,,,,,
MALARIA_PV_INDIG,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,21,21,,,,,
MALARIA_IMPORTED,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,70,70,,,,,
MALARIA_MICR_POS,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,84,84,,,,,
MALARIA_EST_CASES,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,34,34,,,,,
MALARIA_CONF_CASES,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,104,104,,,,,
MALARIA_EST_DEATHS,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,0,0,,,,,
MALARIA_EST_INCIDENCE,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,0.06 [0.06-0.06],0.06182,0.06182,0.06182,,,
MALARIA_EST_MORTALITY,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,0 [0-0],0,0,0,,,
MALARIA_INDIG,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,34,34,,,,,
MALARIA_MICR_TEST,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,26 149,26149,,,,,
MALARIA_PF_INDIG,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,13,13,,,,,
MALARIA_PRES_CASES,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,0,0,,,,,
MALARIA_RDT_TEST,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,47 938,47938,,,,,
MALARIA_SUSPECTS,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,74 087,74087,,,,,
MALARIA_TOTAL_CASES,2015,2015,,SEAR,South-East Asia,,BTN,Bhutan,104,104,,,,,
MALARIA_RDT_POS,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,15,15,,,,,
MALARIA_PV_INDIG,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,13,13,,,,,
MALARIA_IMPORTED,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,56,56,,,,,
MALARIA_MICR_POS,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,59,59,,,,,
MALARIA_EST_CASES,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,15,15,,,,,
MALARIA_CONF_CASES,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,74,74,,,,,
MALARIA_EST_DEATHS,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,0,0,,,,,
MALARIA_EST_INCIDENCE,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,0.03 [0.03-0.03],0.02704,0.02704,0.02704,,,
MALARIA_EST_MORTALITY,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,0 [0-0],0,0,0,,,
MALARIA_INDIG,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,15,15,,,,,
MALARIA_MICR_TEST,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,23 442,23442,,,,,
MALARIA_PF_INDIG,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,1,1,,,,,
MALARIA_PRES_CASES,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,0,0,,,,,
MALARIA_RDT_TEST,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,95 399,95399,,,,,
MALARIA_SUSPECTS,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,118 841,118841,,,,,
MALARIA_TOTAL_CASES,2016,2016,,SEAR,South-East Asia,,BTN,Bhutan,74,74,,,,,
